mag,depth,rad,prov,lat,lon,prov_enco
3.8,10,134,SULUT,0.18,125.68,15
3.5,10,139,JABAR,-8.95,108.61,4
2.8,10,33,ACEHSELATAN,2.99,97.28,38
4.0,25,178,MALUKUBRTDAYA,-7.71,129.34,14
3.4,23,112,MALUT,0.68,129.34,5
4.8,23,402,SULUT,7.58,126.13,15
3.6,126,75,GORONTALO,-0.14,123.19,12
4.9,112,55,JATIM,-8.63,112.23,29
4.8,87,46,JATIM,-8.55,112.21,29
3.2,118,29,GORONTALO,0.77,122.24,12
3.9,166,60,GORONTALO,0.0,123.08,12
4.0,17,78,MALUT,2.73,128.46,5
2.4,10,38,SULSEL,-2.08,120.26,17
3.4,36,97,MALUKU,-2.4,128.77,6
3.5,157,62,GORONTALO,0.02,123.35,12
4.1,10,304,JABAR,-9.9,106.85,4
3.7,10,242,JABAR,-9.27,106.98,4
4.4,10,55,SULTENG,1.22,121.79,11
2.8,19,36,SULTENG,-0.75,119.8,11
2.2,17,26,NTB,-8.31,118.54,8
3.3,10,43,MALUT,-0.3,127.32,5
4.5,142,66,MALUKUBRTDAYA,-7.72,128.2,14
3.4,10,138,JABAR,-8.31,107.3,4
3.7,57,33,GORONTALO,0.73,121.82,12
