created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,
"Sun Dec 31 00:32:09 +0000 2023;1741255887162093983;""#Gempa Mag:3.6", 31-Dec-2023 07:26:49WIB, Lok:5.88LS, 128.26BT (233 km Tenggara BURUSELATAN-MALUKU), Kedlmn:366 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/QWeRd9yZtu"";0;0;2;7;in;108543358;1741255887162093983;infoBMKG;https://twitter.com/infoBMKG/status/1741255887162093983",,,,,
"Sun Dec 31 00:21:09 +0000 2023;1741253119118549303;""#Gempa Mag:2.4", 31-Dec-2023 07:15:51WIB, Lok:6.75LS, 106.52BT (26 km BaratLaut KAB-SUKABUMI-JABAR), Kedlmn:15 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/4s9OlILJ6L"";3;0;8;29;in;108543358;1741253119118549303;infoBMKG;https://twitter.com/infoBMKG/status/1741253119118549303",,,,,
"Sun Dec 31 00:17:09 +0000 2023;1741252112431071622;""#Gempa Mag:2.8", 31-Dec-2023 07:12:36WIB, Lok:6.76LS, 106.59BT (25 km TimurLaut KAB-SUKABUMI-JABAR), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/CSc28ycuVP"";1;0;13;33;in;108543358;1741252112431071622;infoBMKG;https://twitter.com/infoBMKG/status/1741252112431071622",,,,,
"Sat Dec 30 22:58:10 +0000 2023;1741232235112743318;""#Gempa Mag:2.9", 31-Dec-2023 05:54:42WIB, Lok:1.77LU, 126.33BT (139 km TimurLaut BITUNG-SULUT), Kedlmn:20 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/JaFQkPblUi"";0;3;2;7;in;108543358;1741232235112743318;infoBMKG;https://twitter.com/infoBMKG/status/1741232235112743318",,,,,
"Sat Dec 30 22:57:09 +0000 2023;1741231981898395729;""#Gempa Mag:2.9", 31-Dec-2023 05:54:42WIB, Lok:3.42LS, 101.87BT (36 km BaratLaut BENGKULUUTARA), Kedlmn:40 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/0Uq0S3aYca"";0;0;1;12;in;108543358;1741231981898395729;infoBMKG;https://twitter.com/infoBMKG/status/1741231981898395729",,,,,
"Sat Dec 30 22:51:08 +0000 2023;1741230467670774043;""#Gempa Mag:2.6", 31-Dec-2023 05:46:48WIB, Lok:2.45LS, 139.73BT (58 km TimurLaut SARMI-PAPUA), Kedlmn:105 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/bQn4hZsG03"";0;0;3;15;in;108543358;1741230467670774043;infoBMKG;https://twitter.com/infoBMKG/status/1741230467670774043",,,,,
"Sat Dec 30 22:21:10 +0000 2023;1741222926047936514;""#Gempa Mag:5.6", 31-Dec-2023 05:16:28WIB, Lok:6.35LS, 147.41BT (787 km Tenggara BOVENDIGOEL-PAPUA), Kedlmn:154 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/QMs8TGsFJ3"";1;0;4;19;in;108543358;1741222926047936514;infoBMKG;https://twitter.com/infoBMKG/status/1741222926047936514",,,,,
"Sat Dec 30 21:59:09 +0000 2023;1741217385720537241;""#Gempa Mag:2.8", 31-Dec-2023 04:55:02WIB, Lok:1.49LU, 127.64BT (15 km TimurLaut HALMAHERABARAT-MALUT), Kedlmn:13 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/vFEGQhYLG7"";0;0;1;10;in;108543358;1741217385720537241;infoBMKG;https://twitter.com/infoBMKG/status/1741217385720537241",,,,,
"Sat Dec 30 21:38:09 +0000 2023;1741212099983094017;""#Gempa Mag:3.1", 31-Dec-2023 04:34:52WIB, Lok:4.10LU, 97.42BT (14 km TimurLaut KAB-GAYOLUES-ACEH), Kedlmn:126 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/Riqfb4XzTS"";0;0;2;21;in;108543358;1741212099983094017;infoBMKG;https://twitter.com/infoBMKG/status/1741212099983094017",,,,,
"Sat Dec 30 21:28:08 +0000 2023;1741209580678631727;""#Gempa Mag:3.7", 31-Dec-2023 04:25:22WIB, Lok:2.66LU, 95.77BT (69 km BaratLaut SINABANG-ACEH), Kedlmn:12 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/svICGkai0f"";0;0;1;8;in;108543358;1741209580678631727;infoBMKG;https://twitter.com/infoBMKG/status/1741209580678631727",,,,,
