mag,depth,lat,lon,rad,pga,loc_encoded
2.9,10,-2.52,121.01,19,2,17
4.4,76,4.72,127.72,140,2,15
3.5,10,1.57,128.68,35,2,5
3.8,11,-0.33,98.8,124,2,21
4.0,11,3.43,96.54,65,2,36
4.4,147,-6.3,130.45,208,2,27
2.2,10,4.99,95.98,33,2,24
3.9,476,-7.39,120.35,123,2,17
2.9,23,-8.03,107.39,106,2,4
4.4,15,-7.08,130.51,132,2,27
3.4,10,-1.13,102.25,17,2,20
4.1,10,-4.88,130.48,197,2,6
3.0,22,-0.2,123.07,82,2,12
2.9,13,-7.69,122.41,92,2,7
4.0,10,-0.82,126.78,82,2,5
2.4,184,-8.53,117.58,18,2,8
2.8,10,1.54,128.7,34,2,5
3.3,10,-1.8,139.86,104,2,10
3.2,243,-5.61,129.2,255,2,6
3.0,150,1.44,127.24,40,2,5
4.5,10,-4.26,128.75,109,2,3
3.8,10,-4.41,128.63,117,2,6
4.3,156,-4.2,128.9,100,2,3
3.8,10,-4.41,128.61,116,2,6
3.9,10,-4.45,128.67,124,2,6
2.8,10,-10.0,123.97,9,2,7
4.3,10,4.62,125.4,112,2,15
3.3,13,-10.41,120.35,19,2,7
3.6,10,-10.47,120.37,25,2,7
3.3,13,-10.41,120.35,19,2,7
3.7,15,-10.41,120.36,20,2,7
2.6,22,-8.31,118.35,27,2,8
3.4,13,-1.29,134.25,50,2,1
2.9,10,-8.03,118.86,48,2,8
2.6,10,-1.33,119.71,20,2,11
4.0,10,-1.29,119.68,24,2,11
4.0,78,-0.18,122.99,81,2,12
3.5,10,1.57,128.67,35,2,5
3.9,13,-0.41,125.77,178,2,5
3.5,30,3.82,126.88,30,2,15
3.0,10,-2.57,140.75,86,2,10
3.3,10,-9.07,109.19,150,2,35
2.8,15,-9.27,123.05,100,2,7
3.6,97,1.49,125.3,20,2,15
3.9,27,-7.95,129.81,166,2,27
3.1,10,1.57,128.75,41,2,5
4.7,120,-5.2,152.03,1268,1,10
3.6,142,-7.58,128.59,109,2,14
2.1,10,0.12,119.52,69,2,11
2.6,10,-2.41,120.77,48,2,17
3.4,10,-2.17,134.16,78,2,1
2.2,29,-4.06,119.72,11,2,17
3.6,13,2.87,96.55,48,2,24
3.0,10,-6.19,120.21,34,2,17
3.3,10,-3.14,102.23,5,2,13
2.7,10,-2.86,129.34,64,2,3
4.5,282,-8.15,117.15,33,2,8
4.8,309,-7.95,117.23,56,2,8
5.0,310,-8.0,117.24,52,2,8
3.0,10,4.54,96.42,36,2,24
3.5,45,2.13,127.47,73,2,5
2.9,118,-8.27,124.14,45,2,7
3.3,276,-7.7,119.45,101,2,7
4.3,10,-1.12,126.83,90,2,5
3.2,188,-4.41,129.34,130,2,3
4.0,423,1.68,122.92,94,2,15
4.8,10,7.72,126.61,413,2,15
3.4,69,-9.1,118.14,72,2,8
4.5,106,-7.67,127.86,54,2,14
3.7,10,-0.22,125.48,145,2,15
3.4,10,1.58,128.6,32,2,5
3.4,96,-0.21,122.91,86,2,12
3.9,49,-2.75,139.75,28,2,10
4.6,10,1.51,128.65,28,2,5
3.6,10,-7.89,114.32,37,2,31
4.0,53,-1.86,136.24,14,2,10
2.7,182,0.33,122.05,18,2,12
3.3,32,-2.83,139.51,42,2,10
3.4,130,-6.5,106.1,18,2,22
3.3,21,-2.5,140.36,78,2,10
3.2,155,1.64,99.42,16,2,2
3.2,123,-9.07,116.86,35,2,8
4.4,404,-7.61,120.14,102,2,7
4.3,10,2.17,122.1,157,2,11
5.5,148,-5.79,146.17,643,2,10
5.9,74,-7.57,106.14,72,2,22
3.7,10,-2.59,133.65,80,2,1
2.4,13,-8.16,125.03,55,2,7
3.0,20,0.02,99.42,46,2,21
3.4,11,4.77,96.2,26,2,24
3.3,10,-2.92,139.9,9,2,10
2.4,10,-2.94,119.39,7,2,32
2.1,10,-9.75,123.87,26,2,7
3.2,10,-9.85,123.87,15,2,7
3.0,10,-2.97,119.45,15,2,32
2.1,10,-6.73,106.59,27,2,4
3.0,102,0.07,122.86,60,2,12
5.1,37,-10.06,123.75,16,3,7
5.0,37,-10.01,123.77,13,3,7
3.6,15,-4.86,102.79,47,2,18
3.8,26,-8.29,108.47,65,2,4
5.2,10,-6.68,130.12,194,2,27
5.1,10,-6.68,130.12,194,2,26
4.0,21,-3.91,139.78,39,2,10
2.8,10,-3.61,128.84,36,2,3
2.8,10,0.77,120.52,28,2,11
2.6,11,-8.42,116.61,27,2,8
3.0,10,-2.89,139.51,39,2,10
2.9,26,2.1,97.84,27,2,37
3.2,10,-4.37,128.7,122,2,3
2.7,35,-9.6,120.01,18,2,7
4.3,26,4.43,127.03,61,2,15
4.4,10,-6.82,107.93,4,3,4
2.8,23,-2.99,127.75,50,2,6
2.6,10,-9.22,122.75,89,2,7
5.5,46,-0.2,123.65,74,2,15
5.4,47,-0.2,123.65,74,2,15
3.7,97,-4.57,131.12,177,2,6
4.8,23,-7.96,117.86,76,2,8
2.8,10,-1.11,120.39,51,2,11
3.1,10,-8.31,116.96,12,2,8
3.5,10,-3.0,139.91,6,2,10
3.2,10,4.63,96.64,22,2,9
3.4,32,1.52,126.95,73,2,5
2.7,123,4.6,96.66,20,2,9
2.5,102,-5.42,104.77,11,2,16
2.8,32,-3.69,128.67,53,2,3
2.8,10,-1.51,119.81,15,2,11
2.3,10,-0.71,119.89,32,2,11
