mag,depth,rad,prov,lat,lon,prov_enco,kmeans,kmedoids
2.8,10.0,34.0,MALUT,1.54,128.7,5,2.0,0.0
3.3,10.0,104.0,PAPUA,-1.8,139.86,10,0.0,2.0
3.2,243.0,255.0,MALUKU,-5.61,129.2,6,1.0,1.0
3.0,150.0,40.0,MALUT,1.44,127.24,5,1.0,1.0
4.5,10.0,109.0,MALUKUTENGAH,-4.26,128.75,3,0.0,2.0
3.8,10.0,117.0,MALUKU,-4.41,128.63,6,0.0,2.0
4.3,156.0,100.0,MALUKUTENGAH,-4.2,128.9,3,1.0,1.0
3.8,10.0,116.0,MALUKU,-4.41,128.61,6,0.0,2.0
3.9,10.0,124.0,MALUKU,-4.45,128.67,6,0.0,2.0
2.8,10.0,9.0,NTT,-10.0,123.97,7,2.0,0.0
4.3,10.0,112.0,SULUT,4.62,125.4,15,0.0,2.0
3.3,13.0,19.0,NTT,-10.41,120.35,7,2.0,0.0
3.6,10.0,25.0,NTT,-10.47,120.37,7,2.0,0.0
3.3,13.0,19.0,NTT,-10.41,120.35,7,2.0,0.0
3.7,15.0,20.0,NTT,-10.41,120.36,7,2.0,0.0
2.6,22.0,27.0,NTB,-8.31,118.35,8,2.0,0.0
3.4,13.0,50.0,PAPUABRT,-1.29,134.25,1,2.0,0.0
2.9,10.0,48.0,NTB,-8.03,118.86,8,2.0,0.0
2.6,10.0,20.0,SULTENG,-1.33,119.71,11,2.0,0.0
4.0,10.0,24.0,SULTENG,-1.29,119.68,11,2.0,0.0
4.0,78.0,81.0,GORONTALO,-0.18,122.99,12,0.0,1.0
3.5,10.0,35.0,MALUT,1.57,128.67,5,2.0,0.0
3.9,13.0,178.0,MALUT,-0.41,125.77,5,3.0,3.0
3.5,30.0,30.0,SULUT,3.82,126.88,15,2.0,0.0
3.0,10.0,86.0,PAPUA,-2.57,140.75,10,0.0,2.0
3.3,10.0,150.0,JATENG,-9.07,109.19,33,0.0,2.0
2.8,15.0,100.0,NTT,-9.27,123.05,7,0.0,2.0
3.6,97.0,20.0,SULUT,1.49,125.3,15,1.0,1.0
3.9,27.0,166.0,MALUKUTENGGARABRT,-7.95,129.81,25,0.0,2.0
3.1,10.0,41.0,MALUT,1.57,128.75,5,2.0,0.0
4.7,120.0,1268.0,PAPUA,-5.2,152.03,10,3.0,3.0
3.6,142.0,109.0,MALUKUBRTDAYA,-7.58,128.59,14,1.0,1.0
2.1,10.0,69.0,SULTENG,0.12,119.52,11,0.0,2.0
2.6,10.0,48.0,SULSEL,-2.41,120.77,17,2.0,0.0
3.4,10.0,78.0,PAPUABRT,-2.17,134.16,1,0.0,2.0
2.2,29.0,11.0,SULSEL,-4.06,119.72,17,2.0,0.0
3.6,13.0,48.0,ACEH,2.87,96.55,23,2.0,2.0
3.0,10.0,34.0,SULSEL,-6.19,120.21,17,2.0,0.0
3.3,10.0,5.0,BENGKULU,-3.14,102.23,13,2.0,0.0
2.7,10.0,64.0,MALUKUTENGAH,-2.86,129.34,3,0.0,2.0
4.5,282.0,33.0,NTB,-8.15,117.15,8,1.0,1.0
4.8,309.0,56.0,NTB,-7.95,117.23,8,1.0,1.0
5.0,310.0,52.0,NTB,-8.0,117.24,8,1.0,1.0
3.0,10.0,36.0,ACEH,4.54,96.42,23,2.0,0.0
3.5,45.0,73.0,MALUT,2.13,127.47,5,0.0,2.0
2.9,118.0,45.0,NTT,-8.27,124.14,7,1.0,1.0
3.3,276.0,101.0,NTT,-7.7,119.45,7,1.0,1.0
4.3,10.0,90.0,MALUT,-1.12,126.83,5,0.0,2.0
3.2,188.0,130.0,MALUKUTENGAH,-4.41,129.34,3,1.0,1.0
4.0,423.0,94.0,SULUT,1.68,122.92,15,1.0,1.0
4.8,10.0,413.0,SULUT,7.72,126.61,15,3.0,3.0
3.4,69.0,72.0,NTB,-9.1,118.14,8,0.0,1.0
4.5,106.0,54.0,MALUKUBRTDAYA,-7.67,127.86,14,1.0,1.0
3.7,10.0,145.0,SULUT,-0.22,125.48,15,0.0,2.0
3.4,10.0,32.0,MALUT,1.58,128.6,5,2.0,0.0
3.4,96.0,86.0,GORONTALO,-0.21,122.91,12,1.0,1.0
3.9,49.0,28.0,PAPUA,-2.75,139.75,10,2.0,0.0
4.6,10.0,28.0,MALUT,1.51,128.65,5,2.0,0.0
3.6,10.0,37.0,JATIM,-7.89,114.32,29,2.0,0.0
4.0,53.0,14.0,PAPUA,-1.86,136.24,10,2.0,0.0
2.7,182.0,18.0,GORONTALO,0.33,122.05,12,1.0,1.0
3.3,32.0,42.0,PAPUA,-2.83,139.51,10,2.0,0.0
3.4,130.0,18.0,BANTEN,-6.5,106.1,21,1.0,1.0
3.3,21.0,78.0,PAPUA,-2.5,140.36,10,0.0,2.0
3.2,155.0,16.0,SUMUT,1.64,99.42,2,1.0,1.0
3.2,123.0,35.0,NTB,-9.07,116.86,8,1.0,1.0
4.4,404.0,102.0,NTT,-7.61,120.14,7,1.0,1.0
4.3,10.0,157.0,SULTENG,2.17,122.1,11,0.0,2.0
5.5,148.0,643.0,PAPUA,-5.79,146.17,10,3.0,3.0
3.7,10.0,80.0,PAPUABRT,-2.59,133.65,1,0.0,2.0
2.4,13.0,55.0,NTT,-8.16,125.03,7,2.0,0.0
3.0,20.0,46.0,SUMBAR,0.02,99.42,20,2.0,0.0
3.4,11.0,26.0,ACEH,4.77,96.2,23,2.0,0.0
3.3,10.0,9.0,PAPUA,-2.92,139.9,10,2.0,0.0
